2026-06-24 19:57:50Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 19:57:50Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 19:57:50Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 19:57:52Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 19:57:52Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 19:57:52Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 19:57:55Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 19:57:55Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 19:57:55Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 19:57:57Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 19:57:57Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 19:57:57Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 19:57:59Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 19:57:59Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 19:57:59Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 19:58:02Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 19:58:02Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 19:58:02Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 19:58:04Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 19:58:04Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 19:58:04Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 19:58:06Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 19:58:06Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 19:58:06Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 19:58:08Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 19:58:08Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 19:58:08Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 19:58:11Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 19:58:11Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 19:58:11Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 19:58:13Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 19:58:13Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 19:58:13Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 19:58:15Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 19:58:15Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 19:58:15Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 19:58:18Z hc1 (D2R_1): frame Unknown (0s ago) [degraded] | last no input yet | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (0s ago)
2026-06-24 19:58:18Z hc2 (D2R_2): frame Unknown (0s ago) [degraded] | last no input yet | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (0s ago)
2026-06-24 19:58:18Z hc3 (D2R_3): frame Unknown (1s ago) [degraded] | last no input yet | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (1s ago)
2026-06-24 19:58:20Z hc1 (D2R_1): frame Unknown (3s ago) [degraded] | last key/Escape/G/Space/Enter@683,384 (0s ago), fg ? | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (3s ago)
2026-06-24 19:58:20Z hc2 (D2R_2): frame Unknown (2s ago) [degraded] | last key/Escape/G/Space/Enter@683,384 (0s ago), fg ? | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (2s ago)
2026-06-24 19:58:20Z hc3 (D2R_3): frame Unknown (3s ago) [degraded] | last key/Escape/G/Space/Enter@683,384 (0s ago), fg ? | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (3s ago)
2026-06-24 19:58:22Z hc1 (D2R_1): frame Unknown (5s ago) [degraded] | last key/Escape/G/Space/Enter@683,384 (2s ago), fg ? | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (5s ago)
2026-06-24 19:58:22Z hc2 (D2R_2): frame Unknown (5s ago) [degraded] | last key/Escape/G/Space/Enter@683,384 (2s ago), fg ? | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (5s ago)
2026-06-24 19:58:22Z hc3 (D2R_3): frame Unknown (5s ago) [degraded] | last key/Escape/G/Space/Enter@683,384 (2s ago), fg ? | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (5s ago)
2026-06-24 19:58:24Z hc1 (D2R_1): frame Unknown (7s ago) [degraded] | last key/Escape/G/Space/Enter@683,384 (4s ago), fg ? | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (7s ago)
