2026-06-24 16:08:01Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 16:08:01Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 16:08:01Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 16:08:07Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 16:08:07Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 16:08:07Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 16:08:14Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 16:08:14Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 16:08:14Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 16:08:20Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 16:08:20Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 16:08:20Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 16:08:26Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 16:08:26Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 16:08:26Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 16:08:32Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 16:08:32Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 16:08:32Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 16:08:39Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 16:08:39Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 16:08:39Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 16:08:45Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 16:08:45Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 16:08:45Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 16:08:51Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 16:08:51Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 16:08:51Z hc3 (D2R_3): frame DiabloSplash (0s ago) [degraded] | last no input yet
2026-06-24 16:08:58Z hc1 (D2R_1): frame DiabloSplash (6s ago) [degraded] | last no input yet
2026-06-24 16:08:58Z hc2 (D2R_2): frame DiabloSplash (6s ago) [degraded] | last no input yet
2026-06-24 16:08:58Z hc3 (D2R_3): frame DiabloSplash (2s ago) [degraded] | last no input yet
2026-06-24 16:09:04Z hc1 (D2R_1): frame DiabloSplash (8s ago) [degraded] | last no input yet
2026-06-24 16:09:04Z hc2 (D2R_2): frame DiabloSplash (8s ago) [degraded] | last no input yet
2026-06-24 16:09:04Z hc3 (D2R_3): frame DiabloSplash (12s ago) [degraded] | last no input yet
2026-06-24 16:09:10Z hc1 (D2R_1): frame DiabloSplash (8s ago) [degraded] | last no input yet
2026-06-24 16:09:10Z hc2 (D2R_2): frame DiabloSplash (18s ago) [degraded] | last no input yet
2026-06-24 16:09:10Z hc3 (D2R_3): frame DiabloSplash (19s ago) [degraded] | last no input yet
2026-06-24 16:09:16Z hc1 (D2R_1): frame DiabloSplash (15s ago) [degraded] | last no input yet
2026-06-24 16:09:16Z hc2 (D2R_2): frame DiabloSplash (24s ago) [degraded] | last no input yet
2026-06-24 16:09:16Z hc3 (D2R_3): frame DiabloSplash (21s ago) [degraded] | last no input yet
2026-06-24 16:09:23Z hc1 (D2R_1): frame DiabloSplash (18s ago) [degraded] | last no input yet
2026-06-24 16:09:23Z hc2 (D2R_2): frame DiabloSplash (0s ago) [degraded] | last no input yet
2026-06-24 16:09:23Z hc3 (D2R_3): frame DiabloSplash (5s ago) [degraded] | last no input yet
2026-06-24 16:09:29Z hc1 (D2R_1): frame DiabloSplash (5s ago) [degraded] | last no input yet
2026-06-24 16:09:29Z hc2 (D2R_2): frame DiabloSplash (3s ago) [degraded] | last no input yet
2026-06-24 16:09:29Z hc3 (D2R_3): frame DiabloSplash (4s ago) [degraded] | last no input yet
2026-06-24 16:09:35Z hc1 (D2R_1): frame DiabloSplash (4s ago) [degraded] | last no input yet
2026-06-24 16:09:35Z hc2 (D2R_2): frame DiabloSplash (3s ago) [degraded] | last no input yet
2026-06-24 16:09:35Z hc3 (D2R_3): frame DiabloSplash (1s ago) [degraded] | last no input yet
2026-06-24 16:09:41Z hc1 (D2R_1): frame DiabloSplash (4s ago) [degraded] | last no input yet
2026-06-24 16:09:41Z hc2 (D2R_2): frame DiabloSplash (2s ago) [degraded] | last no input yet
2026-06-24 16:09:41Z hc3 (D2R_3): frame DiabloSplash (2s ago) [degraded] | last no input yet
2026-06-24 16:09:48Z hc1 (D2R_1): frame DiabloSplash (1s ago) [degraded] | last no input yet
2026-06-24 16:09:48Z hc2 (D2R_2): frame DiabloSplash (1s ago) [degraded] | last no input yet
2026-06-24 16:09:48Z hc3 (D2R_3): frame DiabloSplash (0s ago) [degraded] | last no input yet
2026-06-24 16:09:54Z hc1 (D2R_1): frame DiabloSplash (0s ago) [degraded] | last no input yet
2026-06-24 16:09:54Z hc2 (D2R_2): frame DiabloSplash (0s ago) [degraded] | last no input yet
2026-06-24 16:09:54Z hc3 (D2R_3): frame DiabloSplash (3s ago) [degraded] | last no input yet
2026-06-24 16:10:00Z hc1 (D2R_1): frame DiabloSplash (6s ago) [degraded] | last no input yet
2026-06-24 16:10:00Z hc2 (D2R_2): frame DiabloSplash (0s ago) [degraded] | last no input yet
2026-06-24 16:10:00Z hc3 (D2R_3): frame DiabloSplash (7s ago) [degraded] | last no input yet
2026-06-24 16:10:07Z hc1 (D2R_1): frame DiabloSplash (5s ago) [degraded] | last no input yet
2026-06-24 16:10:07Z hc2 (D2R_2): frame DiabloSplash (6s ago) [degraded] | last no input yet
2026-06-24 16:10:07Z hc3 (D2R_3): frame DiabloSplash (5s ago) [degraded] | last no input yet
2026-06-24 16:10:09Z hc1 (D2R_1): frame DiabloSplash (1s ago) [degraded] | last no input yet
2026-06-24 16:10:09Z hc2 (D2R_2): frame DiabloSplash (1s ago) [degraded] | last no input yet
2026-06-24 16:10:09Z hc3 (D2R_3): frame DiabloSplash (0s ago) [degraded] | last no input yet
2026-06-24 16:10:11Z hc1 (D2R_1): frame DiabloSplash (3s ago) [degraded] | last no input yet
2026-06-24 16:10:11Z hc2 (D2R_2): frame DiabloSplash (3s ago) [degraded] | last no input yet
2026-06-24 16:10:11Z hc3 (D2R_3): frame DiabloSplash (3s ago) [degraded] | last no input yet
2026-06-24 16:10:18Z hc1 (D2R_1): frame DiabloSplash (3s ago) [degraded] | last no input yet
2026-06-24 16:10:18Z hc2 (D2R_2): frame DiabloSplash (3s ago) [degraded] | last no input yet
2026-06-24 16:10:18Z hc3 (D2R_3): frame DiabloSplash (3s ago) [degraded] | last no input yet
2026-06-24 16:10:24Z hc1 (D2R_1): frame DiabloSplash (3s ago) [degraded] | last no input yet
2026-06-24 16:10:24Z hc2 (D2R_2): frame DiabloSplash (3s ago) [degraded] | last no input yet
2026-06-24 16:10:24Z hc3 (D2R_3): frame DiabloSplash (2s ago) [degraded] | last no input yet
2026-06-24 16:10:30Z hc1 (D2R_1): frame DiabloSplash (3s ago) [degraded] | last no input yet
2026-06-24 16:10:30Z hc2 (D2R_2): frame DiabloSplash (2s ago) [degraded] | last no input yet
2026-06-24 16:10:30Z hc3 (D2R_3): frame DiabloSplash (2s ago) [degraded] | last no input yet
2026-06-24 16:10:37Z hc1 (D2R_1): frame DiabloSplash (3s ago) [degraded] | last no input yet
2026-06-24 16:10:37Z hc2 (D2R_2): frame DiabloSplash (2s ago) [degraded] | last no input yet
2026-06-24 16:10:37Z hc3 (D2R_3): frame DiabloSplash (2s ago) [degraded] | last no input yet
2026-06-24 16:10:43Z hc1 (D2R_1): frame DiabloSplash (3s ago) [degraded] | last no input yet
2026-06-24 16:10:43Z hc2 (D2R_2): frame DiabloSplash (1s ago) [degraded] | last no input yet
2026-06-24 16:10:43Z hc3 (D2R_3): frame DiabloSplash (1s ago) [degraded] | last no input yet
2026-06-24 16:10:49Z hc1 (D2R_1): frame DiabloSplash (3s ago) [degraded] | last no input yet
2026-06-24 16:10:49Z hc2 (D2R_2): frame DiabloSplash (0s ago) [degraded] | last no input yet
2026-06-24 16:10:49Z hc3 (D2R_3): frame DiabloSplash (1s ago) [degraded] | last no input yet
2026-06-24 16:10:55Z hc1 (D2R_1): frame DiabloSplash (4s ago) [degraded] | last no input yet
2026-06-24 16:10:55Z hc2 (D2R_2): frame DiabloSplash (2s ago) [degraded] | last no input yet
2026-06-24 16:10:55Z hc3 (D2R_3): frame DiabloSplash (1s ago) [degraded] | last no input yet
2026-06-24 16:10:58Z hc1 (D2R_1): frame DiabloSplash (0s ago) [degraded] | last no input yet
2026-06-24 16:10:58Z hc2 (D2R_2): frame DiabloSplash (4s ago) [degraded] | last no input yet
2026-06-24 16:10:58Z hc3 (D2R_3): frame DiabloSplash (4s ago) [degraded] | last no input yet
